away_team,proper_date,home_team,home_team_rank,home_days_rest,home_team_avg_pts_scored,home_team_avg_pts_scored_opp,home_team_win_pct,home_team_win_pct_last10,home_is_top_players,away_team_rank,away_days_rest,away_team_avg_pts_scored,away_team_avg_pts_scored_opp,away_team_win_pct,away_team_win_pct_last10,away_is_top_players,home_team_predicted_win_pct,away_team_predicted_win_pct,outcome,ml_prediction,actual_outcome,ml_accuracy,home_moneyline,away_moneyline,ml_money_col,home_implied_probability,away_implied_probability
Miami Heat,2023-06-12,Denver Nuggets,4,2,115.6,111.3,0.646,0.5,2,13,2,109.3,109.2,0.537,0.6,2,0.671,0.329,W,Home Win,Home Win,1,-380.0,310.0,2.63,0.792,0.244
Denver Nuggets,2023-06-09,Miami Heat,13,1,109.4,109.2,0.537,0.6,2,4,1,115.6,111.4,0.646,0.5,2,0.367,0.633,L,Road Win,Road Win,1,140.0,-165.0,6.06,0.417,0.623
Denver Nuggets,2023-06-07,Miami Heat,13,2,109.6,109.2,0.537,0.6,2,4,2,115.7,111.6,0.646,0.5,2,0.371,0.629,L,Road Win,Road Win,1,120.0,-140.0,7.14,0.455,0.583
Miami Heat,2023-06-04,Denver Nuggets,4,2,115.8,111.6,0.646,0.5,2,12,2,109.6,109.2,0.537,0.6,2,0.654,0.346,L,Home Win,Road Win,0,-365.0,300.0,-10.0,0.785,0.25
Miami Heat,2023-06-01,Denver Nuggets,4,11,115.9,111.8,0.646,0.5,2,13,2,109.7,109.3,0.537,0.6,2,0.895,0.105,W,Home Win,Home Win,1,-360.0,295.0,2.78,0.783,0.253
Miami Heat,2023-05-29,Boston Celtics,2,1,117.1,110.9,0.695,0.8,2,13,1,109.8,109.5,0.537,0.6,2,0.707,0.293,L,Home Win,Road Win,0,-300.0,250.0,-10.0,0.75,0.286
Boston Celtics,2023-05-27,Miami Heat,13,1,109.9,109.6,0.537,0.6,2,2,1,117.2,111.0,0.695,0.8,2,0.339,0.661,L,Road Win,Road Win,1,120.0,-140.0,7.14,0.455,0.583
Miami Heat,2023-05-25,Boston Celtics,2,1,117.3,111.2,0.695,0.8,2,13,1,110.0,109.6,0.537,0.6,2,0.707,0.293,W,Home Win,Home Win,1,-305.0,255.0,3.28,0.753,0.282
Boston Celtics,2023-05-23,Miami Heat,13,1,110.1,109.5,0.537,0.6,2,2,1,117.3,111.3,0.695,0.8,2,0.342,0.658,L,Road Win,Road Win,1,-120.0,100.0,10.0,0.545,0.5
Boston Celtics,2023-05-21,Miami Heat,13,1,109.9,109.6,0.537,0.6,2,2,1,117.5,111.1,0.695,0.8,2,0.34,0.66,W,Road Win,Home Win,0,135.0,-155.0,-10.0,0.426,0.608
Denver Nuggets,2023-05-20,Los Angeles Lakers,14,1,116.4,115.4,0.524,0.8,2,4,1,115.9,111.8,0.646,0.5,2,0.365,0.635,L,Road Win,Road Win,1,-225.0,190.0,19.0,0.692,0.345
Miami Heat,2023-05-19,Boston Celtics,2,1,117.6,111.1,0.695,0.8,2,13,1,109.9,109.6,0.537,0.6,2,0.71,0.29,L,Home Win,Road Win,0,-390.0,320.0,-10.0,0.796,0.238
Los Angeles Lakers,2023-05-18,Denver Nuggets,4,1,116.0,111.9,0.646,0.5,2,14,1,116.6,115.4,0.524,0.8,2,0.684,0.316,W,Home Win,Home Win,1,-205.0,175.0,4.88,0.672,0.364
Miami Heat,2023-05-17,Boston Celtics,2,2,117.6,111.0,0.695,0.8,2,13,4,109.8,109.5,0.537,0.6,2,0.647,0.353,L,Home Win,Road Win,0,-365.0,300.0,-10.0,0.785,0.25
Los Angeles Lakers,2023-05-16,Denver Nuggets,4,4,115.8,111.8,0.646,0.5,2,14,3,116.5,115.3,0.524,0.8,2,0.72,0.28,W,Home Win,Home Win,1,-245.0,205.0,4.08,0.71,0.328
Philadelphia 76ers,2023-05-14,Boston Celtics,2,2,117.7,111.2,0.695,0.8,2,3,2,114.0,110.1,0.659,0.5,2,0.552,0.448,W,Home Win,Home Win,1,-265.0,225.0,3.77,0.726,0.308
New York Knicks,2023-05-12,Miami Heat,11,1,109.9,109.7,0.537,0.6,2,8,1,114.4,111.7,0.573,0.5,2,0.458,0.542,W,Road Win,Home Win,0,-215.0,185.0,-10.0,0.683,0.351
Golden State Warriors,2023-05-12,Los Angeles Lakers,14,1,116.4,115.4,0.524,0.8,2,13,1,118.3,116.5,0.537,0.8,2,0.519,0.481,W,Home Win,Home Win,1,-140.0,120.0,7.14,0.583,0.455
Boston Celtics,2023-05-11,Philadelphia 76ers,3,1,114.3,110.2,0.659,0.5,2,2,1,117.9,111.5,0.695,0.8,2,0.499,0.501,L,Road Win,Road Win,1,120.0,-140.0,7.14,0.455,0.583
